Dataset Index,Execution,Algorithm Type,Radius,Silhouette,Rand Index,Duration
7,4,approx2_10,288.6076737963716,-0.19506463087063253,-0.0585230689661602,0.002136707305908203
7,5,approx2_15,288.6076737963716,-0.19506463087063253,-0.0585230689661602,0.002141237258911133
7,6,approx2_20,264.55703431334064,-0.19506463087063253,-0.0585230689661602,0.002894878387451172
7,7,approx2_25,264.55703431334064,-0.19506463087063253,-0.0585230689661602,0.0034308433532714844
7,8,np,506.3813350271913,0.5168121972396802,-0.07615345776547996,0.0023069381713867188
7,9,approx1,329.83448999590144,0.7320636616818826,-0.028135936751261612,0.0030059814453125
7,10,approx2_5,384.8102317284955,-0.19506463087063253,-0.0585230689661602,0.0010502338409423828
7,11,approx2_10,288.6076737963716,-0.19506463087063253,-0.0585230689661602,0.0018227100372314453
7,12,approx2_15,288.6076737963716,-0.19506463087063253,-0.0585230689661602,0.002883434295654297
7,13,approx2_20,264.55703431334064,-0.19506463087063253,-0.0585230689661602,0.0032401084899902344
7,14,approx2_25,264.55703431334064,-0.19506463087063253,-0.0585230689661602,0.0034508705139160156
8,1,np,327.736631388498,0.3308967532006607,0.38544746392847656,0.002792835235595703
8,2,approx1,160.40429542683046,0.17198432377500417,0.11192846822129014,0.0038344860076904297
8,3,approx2_5,379.9384831941239,-0.20962297817684075,0.00015663790735905117,0.00048065185546875
8,4,approx2_10,189.96924159706194,-0.05309975777892782,0.10581194674296064,0.0007183551788330078
8,5,approx2_15,189.96924159706194,-0.05309975777892782,0.10581194674296064,0.0008435249328613281
8,6,approx2_20,189.96924159706194,-0.05309975777892782,0.10581194674296064,0.0012972354888916016
8,7,approx2_25,166.2230863974292,0.062464845495364574,0.27432010956656644,0.0013120174407958984
8,8,np,338.5274814280393,0.29149892122513354,0.2932776235583665,0.0028617382049560547
8,9,approx1,160.40429542683046,0.17198432377500417,0.11192846822129014,0.0041310787200927734
8,10,approx2_5,379.9384831941239,-0.20962297817684075,0.00015663790735905117,0.0005552768707275391
8,11,approx2_10,189.96924159706194,-0.05309975777892782,0.10581194674296064,0.0007231235504150391
8,12,approx2_15,189.96924159706194,-0.05309975777892782,0.10581194674296064,0.0008404254913330078
8,13,approx2_20,189.96924159706194,-0.05309975777892782,0.10581194674296064,0.001046895980834961
8,14,approx2_25,166.2230863974292,0.062464845495364574,0.27432010956656644,0.001317739486694336
9,1,np,8.807799729762069,0.5031931086112075,0.0,0.0017123222351074219
9,2,approx1,11.410218923938315,0.4404375379040338,0.0,0.0029675960540771484
9,3,approx2_5,17.02745917857964,-0.009943393698248754,0.0,0.0014607906341552734
9,4,approx2_10,14.189549315483033,0.07528180694488691,0.0,0.0022308826446533203
9,5,approx2_15,12.770594383934728,0.07528180694488691,0.0,0.0030279159545898438
9,6,approx2_20,12.061116918160577,0.11141198357070393,0.0,0.004558086395263672
9,7,approx2_25,11.7063781852735,0.11141198357070393,0.0,0.0046808719635009766
9,8,np,8.807799729762069,0.5031931086112075,0.0,0.0015552043914794922
9,9,approx1,11.410218923938315,0.4404375379040338,0.0,0.0029761791229248047
9,10,approx2_5,17.02745917857964,-0.009943393698248754,0.0,0.0024116039276123047
9,11,approx2_10,14.189549315483033,0.07528180694488691,0.0,0.0022592544555664062
9,12,approx2_15,12.770594383934728,0.07528180694488691,0.0,0.003010272979736328
9,13,approx2_20,12.061116918160577,0.11141198357070393,0.0,0.004299640655517578
9,14,approx2_25,11.7063781852735,0.11141198357070393,0.0,0.004728078842163086
10,1,np,3.224928372453319,0.4138474024776728,0.6007620282768668,0.007649898529052734
10,2,approx1,3.2914653010433725,0.26080492958289847,0.49321308831703237,0.05930376052856445
10,3,approx2_5,5.283913026227212,0.6359161219498294,0.9946649009329169,0.00331878662109375
10,4,approx2_10,5.283913026227212,0.6359161219498294,0.9946649009329169,0.0033998489379882812
10,5,approx2_15,3.962934769670409,0.37003806426573305,0.7328201624232823,0.0076618194580078125
10,6,approx2_20,3.962934769670409,0.37003806426573305,0.7328201624232823,0.007513761520385742
10,7,approx2_25,3.6326902055312082,0.29181594751630346,0.6276735423568615,0.00881195068359375
